"NAME","records","richness"
"Gunung Halimun - Salak",19,10
"Gunung Pancar",21,7
"Bali Barat",11,6
"Batukahu I-II-III",8,6
"Baluran",5,5
"Gunung Boliyohuto",9,5
"Gunung Gede - Pangrango",9,5
"Gunung Masigit Kareumbi",11,5
"Gunung Sawal",6,5
"Leuwang Sancang",6,5
"Parc national de Ujung Kulon",5,5
"Ujung Kulon",5,5
"Danau Buyan - Danau Tamblingan",4,4
"Ngurah Rai",5,4
"Pananjung Pangandaran",4,4
"Gunung Ciremai",5,3
"Meru Betiri",3,3
"Papandayan",3,3
"Alas Purwo",2,2
"Gunung Merapi",2,2
"Gunung Merbabu",2,2
"Kawah Ijen",2,2
"Raden Suryo",2,2
"Tahura Ir. H. Juanda",8,2
"Grojogan Sewu",1,1
"KGPAA Mangkunegoro I",1,1
"KK Nusa Penida",1,1
"KKM Teluk Benoa",1,1
"Karimunjawa",1,1
"Telaga Warna",1,1
