"NAME","taxon"
"Gunung Sawal","Camponotus camelinus"
"Leuwang Sancang","Odontomachus simillimus"
"Baluran","Apis mellifera"
"Pananjung Pangandaran","Stictoponera bicolor"
"Gunung Pancar","Xylocopa perversa"
"KK Nusa Penida","Odontomachus malignus"
"Gunung Halimun - Salak","Polyrhachis striata"
"Alas Purwo","Odontomachus rixosus"
"Meru Betiri","Sphex argentatus"
"Gunung Merbabu","Campsomeriella collaris"
"Bali Barat","Delta campaniforme"
"Angke Kapuk","Xylocopa fenestrata"
"Angke Kapuk","Delta pyriforme"
"Gunung Merapi","Dolichoderus thoracicus"
"Pananjung Pangandaran","Sphex sericeus"
"Pananjung Pangandaran","Ammophila clavus"
"Baluran","Xylocopa perforator"
"Tahura Ir. H. Juanda","Camponotus singularis"
"Gunung Sawal","Odontomachus latidens"
"Leuwang Sancang","Echinopla lineata"
"Ngurah Rai","Solenopsis geminata"
"Meru Betiri","Paratrechina longicornis"
"Gunung Halimun - Salak","Carebara lignata"
"Gunung Masigit Kareumbi","Dolichoderus gibbifer"
"Pananjung Pangandaran","Polyrhachis abdominalis"
"Kawah Ijen","Polyrhachis tubifex"
"Baluran","Sceliphron javanum"
"TAMAN PESISIR KABUPATEN PANGANDARAN","Trichomyrmex destructor"
"Pananjung Pangandaran","Amegilla andrewsi"
"Baluran","Sceliphron madraspatanum"
"Bali Barat","Tachypompilus analis"
"Batukahu I-II-III","Apodynerus troglodytes"
